"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"L19-J17","S5_L19_J17",4.83,"S5","Leaf","2019-01-09","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","J17","Non-Growing",54.75,4.6525,5,58,NA,NA,NA,NA,6.98,1.77,1.446789563,42.27331161,"L19-J17",29.2187009715109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
"L19-N16","S5_L19_N16",10.9,"S5","Leaf","2017-06-02","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","N16","Growing",42.164,3.01333333333333,6,33,NA,0,0,0,6.9,1.88,2.696203709,42.36941719,"L19-N16",15.7144718140435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.9603,0.32,0.1502,0.38,0.1101,0.744013020227854,0.577026507875528,0.775351968985921,"No Oil Added ; Not Prev-Oiled Inoc",1039
"L27-J17","S5_L27_J17",1.85,"S5","Leaf","2019-01-09","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","J17","Non-Growing",80.9,5.403,6,59,NA,NA,NA,NA,7.09,3.34,1.243653655,42.10811234,"L27-J17",33.8583914988776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"L27-N16","S5_L27_N16",8.23,"S5","Leaf","2017-06-06","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","N16","Growing",108.204,4.77333333333333,6,30,NA,15,6.46,0.430666666666667,6.84,2.13,1.443361461,41.72891426,"L27-N16",28.9109245241238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.2709,0.1702,0.0202,0.0802,3e-04,0.998240469208211,0.985365853658536,0.996273291925466,"Oil Added ; Not Prev-Oiled Inoc",1039
"L27-N17","S5_L27_N17",5.53,"S5","Leaf","2019-06-07","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","N17","Growing",112.9,5.295,12,64,NA,17,2.8,0.164705882352941,7.97,2.06,1.072140098,41.83733177,"L27-N17",39.022261967484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"L29-J17","S5_L29_J17",8.25,"S5","Leaf","2019-01-09","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","J17","Non-Growing",64.9,4.386,7,84,NA,NA,NA,NA,7.83,1.4,1.347104788,41.92537689,"L29-J17",31.1225802650773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"L29-N16","S5_L29_N16",12.7,"S5","Leaf","2017-06-06","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","N16","Growing",88.9,4.97333333333333,6,33,NA,14,9.44,0.674285714285714,6.95,2.62,1.789060295,41.76523018,"L29-N16",23.3447862527182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.191,0.0902,0.0202,0.0803,3e-04,0.996685082872928,0.985365853658536,0.996277915632754,"Oil Added ; Not Prev-Oiled Inoc",1039
"L29-N17","S5_L29_N17",11.5,"S5","Leaf","2019-06-07","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","N17","Growing",79.75,3.73,11,74,NA,13,2.28,0.175384615384615,7.39,2.5,1.525035739,43.88775063,"L29-N17",28.778178443725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"L30-J17","S5_L30_J17",6.92,"S5","Leaf","2019-01-09","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","J17","Non-Growing",74.425,4.7325,6,90,NA,NA,NA,NA,7.22,3.21,1.453765988,41.74899101,"L30-J17",28.7178207184745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
"L30-N16","S5_L30_N16",8.66,"S5","Leaf","2017-06-06","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","N16","Growing",132.08,4.49333333333333,7,48,NA,16,6.67,0.416875,6.88,2.06,1.682996094,41.32440567,"L30-N16",24.5540710506248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,2.4009,4e-04,2e-04,1.0902,1.3101,0.000305227012590614,0.000152636800732657,0.454193225846769,"No Oil Added ; Not Prev-Oiled Inoc",1039
